Vehicle ID,Model Code,OEM Model,OEM Variant,Custom Model,Custom Variant,Display Name,Segment,Sub Segment,Colour Code,Colour,Fuel,Seating,Wheels,Transmission,Drivetrain,Body Make,Body Type,CC,GVW,Permit,Taxi Price,Status
5447,BM12AH515MB01D00JD,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,JD,DEEP FOREST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5475,BM12AH515MB01D00OG,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,OG,OG,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5477,BM12AH515MB01D00QJ,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,QJ,DESERT MYST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5495,BM12AH515MB01D00QK,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,QK,GALAXY GREY,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5522,BM12AH515MB01D00RQ,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,RQ,TANGO RED,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5528,BM12AH515MB01D00WQ,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,WQ,EVEREST WHITE,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5547,BM12AH515MB01D00WS,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,WS,EVEREST WHITE-SATIN,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5569,BM12AH515MB01D00XJ,BE6,BE 6 ONE ABOVE B59 R19 C11,BE6,ONE ABOVE B59 R19 C11,BE6 ONE ABOVE B59 R19 C11,BEV,,XJ,STEALTH BLACK,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5446,BM12AH515MB01D01JD,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,JD,DEEP FOREST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5464,BM12AH515MB01D01OG,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,OG,OG,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5479,BM12AH515MB01D01QJ,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,QJ,DESERT MYST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
